Date,country,Grocery & pharmacy,Parks,Residential,Retail & recreation,Transit stations,Workplace
2020-02-21,Poland,-1.889,4.615,0.137,1.656,-1.476,1.222
2020-02-21,Qatar,-0.616,11.118,1.18,-0.82,-1.904,3.037
2020-02-21,Romania,2.884,-5.398,-2.055,3.919,7.604,16.26
2020-02-21,Singapore,-11.26,-11.174,7.668,-10.935,-12.915,-1.244
2020-02-21,Slovakia,0.062,18.656,0.785,0.804,-0.05,-5.119
2020-02-21,Slovenia,-0.014,31.374,-0.951,3.521,11.536,-6.958
2020-02-21,South Africa,-6.241,-10.128,-1.506,-3.304,0.135,2.762
2020-02-21,South Korea,-4.374,-16.234,6.551,-18.873,-14.577,-1.899
2020-02-21,Spain,1.761,29.541,-1.937,1.354,9.217,2.127
2020-02-21,Sweden,-0.217,11.136,1.117,3.483,-2.068,-5.351
2020-02-21,Tanzania,-7.022,-3.126,0.313,-2.239,-3.935,-0.299
2020-02-21,Thailand,0.429,-7.054,1.74,-3.9,-5.363,2.078
2020-02-21,Turkey,0.425,-7.838,0.417,-2.418,-3.457,7.196
2020-02-21,United Kingdom,-1.209,4.542,1.972,2.225,-2.284,-10.564
2020-02-21,United States,0.015,10.096,-0.037,4.182,2.277,1.263
2020-02-21,Uruguay,-0.974,-21.827,0.06,-0.67,-3.402,4.912
2020-02-21,Zambia,-10.425,1.831,2.709,-6.949,-10.051,5.959
2020-02-22,Aruba,0.781,4.732,-0.918,4.529,13.517,-6.84
2020-02-22,Australia,3.98,8.632,-0.617,4.739,6.845,2.9
2020-02-22,Belarus,8.727,10.582,-1.449,9.812,6.603,6.262
2020-02-22,Belgium,-1.924,-7.984,0.34,-4.676,0.687,-2.491
2020-02-22,Bosnia and Herzegovina,4.978,25.263,-1.06,4.493,6.353,0.892
2020-02-22,Brazil,6.598,20.353,0.442,-0.302,5.029,-2.192
2020-02-22,Bulgaria,0.246,17.447,-0.965,4.489,6.915,1.141
2020-02-22,Cambodia,-0.371,1.383,1.417,-0.056,-20.344,5.309
2020-02-22,Canada,4.981,28.551,-0.689,7.841,5.513,5.14
2020-02-22,Chile,4.526,4.653,0.742,-0.54,-0.867,-2.237
2020-02-22,Colombia,-2.787,-9.232,0.931,-4.245,0.248,3.01
2020-02-22,Croatia,4.606,30.364,-1.868,8.485,7.553,2.101
2020-02-22,Czechia,4.977,12.149,-1.66,6.919,7.989,3.384
2020-02-22,Denmark,-2.364,-18.174,0.773,-3.532,-2.136,-1.73
2020-02-22,Ecuador,-0.674,14.605,-1.565,-1.942,-4.778,-7.186
2020-02-22,France,1.665,30.355,-0.671,-1.002,12.836,-4.978
